what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1346359396374
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1346359396390
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1346359396403
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1346359396410
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1346359396410
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1346359396423
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1346359396437
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1346359396450
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1346359396470
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1346359396490
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1346359396506
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1346359396525
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1346359396531
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1346359396540
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1346359396557
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1346359396575
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1346359396595
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1346359396609
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1346359396609
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1346359396622
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1346359396639
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1346359396651
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1346359396665
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1346359396675
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1346359396703
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1346359396716
os,sysinfo,,,"win32",1346359396721
arch,sysinfo,,,"x86",1346359396721
ws,sysinfo,,,"win32",1346359396721
locale,sysinfo,,,"en_US",1346359396721
processors,sysinfo,,,"4",1346359396721
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1346359396721
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1346359396721
java.specification.name,sysinfo,,,"Java Platform API Specification",1346359396721
java.specification.vendor,sysinfo,,,"Oracle Corporation",1346359396721
java.specification.version,sysinfo,,,"1.7",1346359396721
java.vendor,sysinfo,,,"Oracle Corporation",1346359396721
java.version,sysinfo,,,"1.7.0_01",1346359396721
java.vm.info,sysinfo,,,"mixed mode",1346359396721
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1346359396721
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1346359396721
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1346359396721
java.vm.specification.version,sysinfo,,,"1.7",1346359396721
java.vm.vendor,sysinfo,,,"Oracle Corporation",1346359396721
java.vm.version,sysinfo,,,"21.1-b02",1346359396721
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1346359396836
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1346359396853
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1346359396876
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1346359397311
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1346359397312
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1346359397427
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1346359397501
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1346359397668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346359399674
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346359421224
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1346359421250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346359427745
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346359472384
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1346359472395
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346359474793
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346359476392
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346359476472
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1346359477139
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1346359477201
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1346359477505
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1346359477573
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1346359477621
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1346359477634
